序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,137,Note,"According to the original code, prompts should start with FPS-24",,,,"https://www.bing.com/search?q=site:huggingface.co+%22According+to+the+original+code,+prompts+should+start+with+FPS-24%22"
2,136,Note,"At this stage I have no idea what's a good negative prompt for the model, please experiment or leave it empty.",,,,"https://www.bing.com/search?q=site:huggingface.co+%22At+this+stage+I+have+no+idea+what's+a+good+negative+prompt+for+the+model,+please+experiment+or+leave+it+empty.%22"
3,134,Note,"No noise added here, only the seed on the first sampler matters",,,,"https://www.bing.com/search?q=site:huggingface.co+%22No+noise+added+here,+only+the+seed+on+the+first+sampler+matters%22"
4,138,UpscaleModelLoader,RealESRGAN_x2.pth,,,,https://www.bing.com/search?q=site:huggingface.co+%22RealESRGAN_x2.pth%22
5,130,Note,"Split the process to only do half the steps with cfg, as sampling without is twice as fast and doesn't have huge impact on the results.",,,,"https://www.bing.com/search?q=site:huggingface.co+%22Split+the+process+to+only+do+half+the+steps+with+cfg,+as+sampling+without+is+twice+as+fast+and+doesn't+have+huge+impact+on+the+results.%22"
6,133,Note,This node is used to add the image as extra conditioning,,,,https://www.bing.com/search?q=site:huggingface.co+%22This+node+is+used+to+add+the+image+as+extra+conditioning%22
7,127,Note,To allow compiling with LoRAs,,,,https://www.bing.com/search?q=site:huggingface.co+%22To+allow+compiling+with+LoRAs%22
8,47,DualCLIPLoader,clip_l.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22clip_l.safetensors%22
9,49,VAELoader,hunyuan_video_vae_bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22hunyuan_video_vae_bf16.safetensors%22
10,140,LoraLoaderModelOnly,skyreels-i2v-smooth-lora-test-00000350.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22skyreels-i2v-smooth-lora-test-00000350.safetensors%22
11,44,UNETLoader,skyreels_hunyuan_i2v_bf16.safetensors,,,,https://www.bing.com/search?q=site:huggingface.co+%22skyreels_hunyuan_i2v_bf16.safetensors%22
