序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,305,LoraLoader,F.1 | 高端大气上档次室内家具_V1,搜索错误,,,https://www.bing.com/search?q=site:liblib.art+%22F.1+|+高端大气上档次室内家具_V1%22
2,404,LoraLoader,F.1- 光影氛围-室内背景_V1,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22F.1-+光影氛围-室内背景_V1%22
3,341,UNETLoader,F.1_Depth-fp16_1.0,已处理,https://huggingface.co/webui/ControlNet-modules-safetensors/resolve/main/control_depth-fp16.safetensors,https://hf-mirror.com/webui/ControlNet-modules-safetensors/resolve/main/control_depth-fp16.safetensors,
4,307,LoraLoader,F1照片级法式室内_v1.0,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22F1照片级法式室内_v1.0%22
5,376,LoraLoader,FLUX_奶油中古风家居_奶油中古风家居_v1.0,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22FLUX_奶油中古风家居_奶油中古风家居_v1.0%22
6,408,Florence2ModelLoader,Florence-2-base,已处理,https://huggingface.co/microsoft/Florence-2-base,https://hf-mirror.com/microsoft/Florence-2-base,
7,377,LoraLoader,QLCD-原木风奶油风室内设计Flux_温馨小户型设计宜家_v1.0,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22QLCD-原木风奶油风室内设计Flux_温馨小户型设计宜家_v1.0%22
8,260,VAELoader,ae.sft,已处理,https://huggingface.co/black-forest-labs/FLUX.1-schnell/discussions/28,https://hf-mirror.com/black-forest-labs/FLUX.1-schnell/discussions/28,
9,261,DualCLIPLoader,clip_l,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/clip_l.safetensors,
10,261,DualCLIPLoader,t5xxl_fp16,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp16.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp16.safetensors,
11,306,LoraLoader,凉一室内极致写实极简风_侘寂风照片级写实建筑_体验版,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22凉一室内极致写实极简风_侘寂风照片级写实建筑_体验版%22
12,262,UNETLoader,基础算法_F.1,已处理,,,https://www.liblib.art/modelinfo/488cd9d58cd4421b9e8000373d7da123
13,"269,375",LoraLoader,室内设计-极简客厅_v1.0,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22室内设计-极简客厅_v1.0%22
